Streams,Date,Genre
5434158,7/1/2020,Hip Hop
4633129,7/1/2020,Pop
4632923,7/1/2020,R&B
3903956,7/1/2020,Rap
3758404,7/1/2020,Pop
3573171,7/1/2020,Pop
3144099,7/1/2020,Rap
3057256,7/1/2020,Pop
2914226,7/1/2020,Hip Hop
2692372,7/1/2020,Pop
2687860,7/1/2020,Rap
2663421,7/1/2020,Edm
2612950,7/1/2020,Other
2605674,7/1/2020,Pop
2545950,7/1/2020,Pop
2444466,7/1/2020,Rap
2239497,7/1/2020,Pop
2166635,7/1/2020,Pop
2149199,7/1/2020,Rap
2140756,7/1/2020,Rap
2067653,7/1/2020,Pop
2062523,7/1/2020,Rap
2006578,7/1/2020,R&B
2002456,7/1/2020,Reggaeton
1964952,7/1/2020,Pop
1900497,7/1/2020,Rap
1856486,7/1/2020,Pop
1853387,7/1/2020,R&B
1814907,7/1/2020,Reggaeton
1799634,7/1/2020,Rap
1799279,7/1/2020,Pop
1771394,7/1/2020,Pop
1756925,7/1/2020,R&B
1688787,7/1/2020,R&B
1662147,7/1/2020,Rap
1633355,7/1/2020,R&B
1611800,7/1/2020,Reggaeton
1594488,7/1/2020,Edm
1588350,7/1/2020,Rock
1578158,7/1/2020,Rap
1551403,7/1/2020,Reggaeton
1524093,7/1/2020,Pop
1519391,7/1/2020,Pop
1518369,7/1/2020,Pop
1498862,7/1/2020,Edm
1478231,7/1/2020,Reggaeton
1445850,7/1/2020,Rock
1445168,7/1/2020,Reggaeton
1419191,7/1/2020,Rap
1357711,7/1/2020,Reggaeton
1303999,7/1/2020,Rap
1298880,7/1/2020,Pop
1296837,7/1/2020,Rap
1285761,7/1/2020,Hip Hop
1283729,7/1/2020,Hip Hop
1264561,7/1/2020,Rap
1261401,7/1/2020,Rap
1258487,7/1/2020,Hip Hop
1240819,7/1/2020,Pop
1204626,7/1/2020,Rap
1173751,7/1/2020,Edm
1153340,7/1/2020,Reggaeton
1151884,7/1/2020,Hip Hop
1151321,7/1/2020,Rap
1126274,7/1/2020,R&B
1119601,7/1/2020,Reggaeton
1110819,7/1/2020,Other
1100444,7/1/2020,Hip Hop
1094668,7/1/2020,Pop
1092142,7/1/2020,Reggaeton
1091630,7/1/2020,Edm
1089887,7/1/2020,Pop
1084025,7/1/2020,Pop
1074067,7/1/2020,Reggaeton
1061979,7/1/2020,Rap
1060483,7/1/2020,Hip Hop
1054068,7/1/2020,Pop
1044979,7/1/2020,Rap
1025024,7/1/2020,Rap
1018680,7/1/2020,Pop
1013822,7/1/2020,Hip Hop
1009940,7/1/2020,Pop
991225,7/1/2020,Pop
985377,7/1/2020,R&B
983276,7/1/2020,Pop
975894,7/1/2020,R&B
970096,7/1/2020,Rock
958986,7/1/2020,Edm
954833,7/1/2020,Reggaeton
944947,7/1/2020,Reggaeton
937987,7/1/2020,Rock
892158,7/1/2020,Hip Hop
891164,7/1/2020,Rap
887395,7/1/2020,Rap
882236,7/1/2020,Reggaeton
881263,7/1/2020,Rap
873140,7/1/2020,Rap
871320,7/1/2020,Reggaeton
867802,7/1/2020,Other
864565,7/1/2020,Pop
863401,7/1/2020,Rap
860799,7/1/2020,Hip Hop
860148,7/1/2020,Reggaeton
859717,7/1/2020,Pop
853569,7/1/2020,Rap
848888,7/1/2020,Rap
847207,7/1/2020,Rap
838738,7/1/2020,Pop
818751,7/1/2020,Pop
815679,7/1/2020,Pop
813296,7/1/2020,Pop
807446,7/1/2020,Edm
802215,7/1/2020,Pop
801621,7/1/2020,Reggaeton
800508,7/1/2020,Hip Hop
799523,7/1/2020,Rap
788256,7/1/2020,Rap
784998,7/1/2020,Other
781799,7/1/2020,Rock
781403,7/1/2020,Pop
780378,7/1/2020,Reggaeton
779438,7/1/2020,Rap
778820,7/1/2020,Pop
775267,7/1/2020,Pop
774849,7/1/2020,Rap
774706,7/1/2020,Rap
772874,7/1/2020,Reggaeton
757721,7/1/2020,Reggaeton
754864,7/1/2020,R&B
742695,7/1/2020,Hip Hop
740163,7/1/2020,Pop
735835,7/1/2020,Rock
730308,7/1/2020,Rap
723861,7/1/2020,Rap
723122,7/1/2020,Reggaeton
721985,7/1/2020,Hip Hop
718550,7/1/2020,R&B
715494,7/1/2020,Pop
713492,7/1/2020,Pop
713302,7/1/2020,Pop
710318,7/1/2020,Rap
708921,7/1/2020,Rap
708386,7/1/2020,Hip Hop
708063,7/1/2020,Hip Hop
704887,7/1/2020,Pop
702462,7/1/2020,Pop
700084,7/1/2020,Rap
698869,7/1/2020,R&B
696822,7/1/2020,R&B
696522,7/1/2020,Hip Hop
695742,7/1/2020,Rap
694035,7/1/2020,Reggaeton
693866,7/1/2020,Pop
687549,7/1/2020,Other
686307,7/1/2020,Hip Hop
685564,7/1/2020,Pop
683059,7/1/2020,Pop
678101,7/1/2020,Rap
677233,7/1/2020,Rap
676619,7/1/2020,Rap
671824,7/1/2020,Reggaeton
670691,7/1/2020,Rap
668350,7/1/2020,Reggaeton
666126,7/1/2020,Pop
666010,7/1/2020,Edm
660476,7/1/2020,Rock
660091,7/1/2020,Rap
658563,7/1/2020,Rock
656882,7/1/2020,Edm
654764,7/1/2020,Reggaeton
654343,7/1/2020,Pop
654264,7/1/2020,Reggaeton
653692,7/1/2020,Reggaeton
653014,7/1/2020,Rap
648998,7/1/2020,Edm
644874,7/1/2020,Pop
644590,7/1/2020,Pop
643071,7/1/2020,Hip Hop
642319,7/1/2020,Hip Hop
640760,7/1/2020,Rock
640438,7/1/2020,Rock
640111,7/1/2020,Reggaeton
636505,7/1/2020,Reggaeton
635231,7/1/2020,Rock
634712,7/1/2020,Rock
634362,7/1/2020,Pop
633439,7/1/2020,Pop
632759,7/1/2020,Rap
631683,7/1/2020,Pop
631581,7/1/2020,Rock
629678,7/1/2020,Pop
629637,7/1/2020,Rap
627251,7/1/2020,Pop
624545,7/1/2020,Edm
623953,7/1/2020,Reggaeton
622859,7/1/2020,Rock
622681,7/1/2020,Rap
620472,7/1/2020,Rock
620227,7/1/2020,Rock
619984,7/1/2020,Hip Hop
5639584,7/2/2020,Hip Hop
4769131,7/2/2020,Pop
4663575,7/2/2020,R&B
3969610,7/2/2020,Rap
3746953,7/2/2020,Pop
3637860,7/2/2020,Pop
3153133,7/2/2020,Rap
3109626,7/2/2020,Pop
2929533,7/2/2020,Hip Hop
2762832,7/2/2020,Edm
2747302,7/2/2020,Rap
2727982,7/2/2020,Pop
2641968,7/2/2020,Other
2622352,7/2/2020,Pop
2554020,7/2/2020,Pop
2438219,7/2/2020,Rap
2280034,7/2/2020,Pop
2180597,7/2/2020,Pop
2165139,7/2/2020,Rap
2158603,7/2/2020,Rap
2088037,7/2/2020,Reggaeton
2082427,7/2/2020,Pop
2061053,7/2/2020,R&B
2060988,7/2/2020,Rap
1970527,7/2/2020,Pop
1933190,7/2/2020,R&B
1873654,7/2/2020,Pop
1829600,7/2/2020,Reggaeton
1825764,7/2/2020,Pop
1805458,7/2/2020,Pop
1784768,7/2/2020,Rap
1762593,7/2/2020,R&B
1710644,7/2/2020,R&B
1683499,7/2/2020,Rap
1669535,7/2/2020,R&B
1605342,7/2/2020,Rock
1605183,7/2/2020,Edm
1579695,7/2/2020,Rap
1563752,7/2/2020,Reggaeton
1543494,7/2/2020,Pop
1542504,7/2/2020,Pop
1533043,7/2/2020,Pop
1514865,7/2/2020,Reggaeton
1475641,7/2/2020,Edm
1473028,7/2/2020,Reggaeton
1463292,7/2/2020,Reggaeton
1456500,7/2/2020,Rap
1452947,7/2/2020,Rock
1421842,7/2/2020,Rap
1376075,7/2/2020,Reggaeton
1340014,7/2/2020,Rap
1321232,7/2/2020,Pop
1302715,7/2/2020,Hip Hop
1298981,7/2/2020,Rap
1289564,7/2/2020,Hip Hop
1283554,7/2/2020,Rap
1277209,7/2/2020,Hip Hop
1260118,7/2/2020,Rap
1219724,7/2/2020,Rap
1214242,7/2/2020,Pop
1179440,7/2/2020,Edm
1177843,7/2/2020,Hip Hop
1162764,7/2/2020,Rap
1151664,7/2/2020,Reggaeton
1149767,7/2/2020,Hip Hop
1130351,7/2/2020,Other
1130278,7/2/2020,Reggaeton
1125998,7/2/2020,R&B
1115922,7/2/2020,Edm
1097081,7/2/2020,Pop
1092820,7/2/2020,Pop
1091525,7/2/2020,Pop
1088245,7/2/2020,Reggaeton
1082033,7/2/2020,Reggaeton
1073969,7/2/2020,Rap
1067270,7/2/2020,Pop
1058618,7/2/2020,Hip Hop
1030184,7/2/2020,R&B
1027820,7/2/2020,Pop
1027801,7/2/2020,R&B
1027188,7/2/2020,Hip Hop
1021626,7/2/2020,Rap
1018000,7/2/2020,Pop
1009476,7/2/2020,Rap
1008813,7/2/2020,Reggaeton
990262,7/2/2020,Pop
983540,7/2/2020,Rock
983253,7/2/2020,Pop
966220,7/2/2020,Reggaeton
963644,7/2/2020,Reggaeton
944725,7/2/2020,Rock
944245,7/2/2020,Rap
940153,7/2/2020,Edm
908145,7/2/2020,Other
897151,7/2/2020,Hip Hop
896524,7/2/2020,Rap
893233,7/2/2020,Rap
891561,7/2/2020,Rap
887777,7/2/2020,Rap
878979,7/2/2020,Pop
872121,7/2/2020,Rap
865583,7/2/2020,Pop
863411,7/2/2020,Reggaeton
862229,7/2/2020,Rap
862219,7/2/2020,Hip Hop
856076,7/2/2020,Rap
836732,7/2/2020,Pop
831154,7/2/2020,Pop
822695,7/2/2020,Pop
820339,7/2/2020,Pop
817897,7/2/2020,Hip Hop
813509,7/2/2020,Other
813481,7/2/2020,Rap
808026,7/2/2020,Reggaeton
806828,7/2/2020,Edm
803801,7/2/2020,Pop
803478,7/2/2020,Reggaeton
803413,7/2/2020,Pop
802770,7/2/2020,Reggaeton
800282,7/2/2020,Rock
794047,7/2/2020,Rap
793367,7/2/2020,Pop
786402,7/2/2020,Rap
783319,7/2/2020,Pop
782146,7/2/2020,Rap
772001,7/2/2020,Reggaeton
771600,7/2/2020,Reggaeton
767764,7/2/2020,R&B
762261,7/2/2020,Rap
749521,7/2/2020,Hip Hop
749028,7/2/2020,Rock
739549,7/2/2020,Pop
738015,7/2/2020,Rap
726172,7/2/2020,Hip Hop
723169,7/2/2020,Pop
722451,7/2/2020,Pop
721371,7/2/2020,R&B
719688,7/2/2020,Rap
717547,7/2/2020,Rap
713548,7/2/2020,Rap
713390,7/2/2020,Rap
710823,7/2/2020,Hip Hop
707219,7/2/2020,R&B
703411,7/2/2020,Pop
703212,7/2/2020,Hip Hop
700816,7/2/2020,Other
698873,7/2/2020,Reggaeton
695964,7/2/2020,Rap
695546,7/2/2020,Rap
694446,7/2/2020,Pop
694301,7/2/2020,Pop
693634,7/2/2020,Hip Hop
691661,7/2/2020,Hip Hop
686512,7/2/2020,Edm
684774,7/2/2020,Rap
680504,7/2/2020,Rap
680136,7/2/2020,Pop
678913,7/2/2020,Reggaeton
675682,7/2/2020,R&B
674610,7/2/2020,Rap
673763,7/2/2020,Pop
669153,7/2/2020,Pop
667400,7/2/2020,Edm
665452,7/2/2020,Reggaeton
665287,7/2/2020,Rap
664180,7/2/2020,Edm
662535,7/2/2020,Rap
660857,7/2/2020,Reggaeton
660153,7/2/2020,Hip Hop
659658,7/2/2020,Rock
657731,7/2/2020,Reggaeton
656558,7/2/2020,Rock
653396,7/2/2020,Pop
652761,7/2/2020,Pop
652011,7/2/2020,Reggaeton
650658,7/2/2020,Reggaeton
650466,7/2/2020,Hip Hop
648608,7/2/2020,Pop
648388,7/2/2020,Rock
647793,7/2/2020,Pop
647722,7/2/2020,Rock
646534,7/2/2020,Pop
644127,7/2/2020,Rock
642638,7/2/2020,Rock
641483,7/2/2020,Rock
638935,7/2/2020,Pop
638393,7/2/2020,Rap
635795,7/2/2020,Rock
634443,7/2/2020,Pop
634123,7/2/2020,Pop
