Streams,Date,Genre
6155025,1/1/2020,Pop
4133489,1/1/2020,Rap
4017964,1/1/2020,Reggaeton
3283180,1/1/2020,Rap
3127585,1/1/2020,Rock
2993746,1/1/2020,R&B
2992597,1/1/2020,Pop
2980775,1/1/2020,Rap
2873805,1/1/2020,Pop
2830968,1/1/2020,R&B
2715653,1/1/2020,Rap
2564016,1/1/2020,Pop
2477644,1/1/2020,Pop
2356916,1/1/2020,Pop
2019758,1/1/2020,Pop
1951124,1/1/2020,Reggaeton
1934870,1/1/2020,Pop
1884725,1/1/2020,Rap
1870095,1/1/2020,Rock
1861342,1/1/2020,Reggaeton
1819647,1/1/2020,Pop
1798728,1/1/2020,Hip Hop
1746472,1/1/2020,Edm
1675202,1/1/2020,Pop
1667985,1/1/2020,Rap
1604371,1/1/2020,Rap
1597395,1/1/2020,Pop
1579814,1/1/2020,Rap
1517497,1/1/2020,Pop
1514188,1/1/2020,Rap
1510767,1/1/2020,R&B
1458329,1/1/2020,Rap
1446903,1/1/2020,Hip Hop
1445478,1/1/2020,Rap
1436592,1/1/2020,Reggaeton
1434685,1/1/2020,Rap
1401929,1/1/2020,Reggaeton
1371739,1/1/2020,Pop
1333574,1/1/2020,Pop
1329281,1/1/2020,Reggaeton
1291953,1/1/2020,Rap
1273828,1/1/2020,Reggaeton
1254899,1/1/2020,Reggaeton
1241875,1/1/2020,Pop
1237445,1/1/2020,Reggaeton
1215005,1/1/2020,Edm
1214953,1/1/2020,Pop
1199083,1/1/2020,Reggaeton
1190890,1/1/2020,Hip Hop
1182984,1/1/2020,Hip Hop
1178320,1/1/2020,Hip Hop
1149923,1/1/2020,Edm
1146623,1/1/2020,Rap
1144225,1/1/2020,Pop
1137938,1/1/2020,Reggaeton
1114074,1/1/2020,Rap
1112466,1/1/2020,Rap
1110006,1/1/2020,Rap
1086933,1/1/2020,R&B
1065859,1/1/2020,Pop
1053060,1/1/2020,Pop
1043906,1/1/2020,Pop
1018639,1/1/2020,Hip Hop
1015073,1/1/2020,Rap
1011338,1/1/2020,Rock
1002502,1/1/2020,Rap
993846,1/1/2020,Rock
989153,1/1/2020,Other
987596,1/1/2020,Pop
976647,1/1/2020,Pop
967600,1/1/2020,Edm
957848,1/1/2020,Pop
945474,1/1/2020,Pop
942215,1/1/2020,Pop
930799,1/1/2020,Reggaeton
930066,1/1/2020,Rock
920310,1/1/2020,Rap
918798,1/1/2020,R&B
917214,1/1/2020,Reggaeton
911629,1/1/2020,Reggaeton
906858,1/1/2020,Hip Hop
903674,1/1/2020,Pop
902955,1/1/2020,Reggaeton
902778,1/1/2020,Hip Hop
902402,1/1/2020,Rock
890696,1/1/2020,R&B
889695,1/1/2020,Reggaeton
881997,1/1/2020,Rap
881242,1/1/2020,Pop
879962,1/1/2020,Hip Hop
872771,1/1/2020,Hip Hop
861122,1/1/2020,Edm
851712,1/1/2020,Hip Hop
846925,1/1/2020,Hip Hop
846370,1/1/2020,Hip Hop
843763,1/1/2020,Rap
839755,1/1/2020,Reggaeton
830202,1/1/2020,Reggaeton
828542,1/1/2020,Pop
827150,1/1/2020,Edm
825773,1/1/2020,Edm
824760,1/1/2020,Pop
822210,1/1/2020,Pop
